lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
0;3,446429;null;null;null;null;50
1;3,644084;null;null;null;null;50
2;3,668754;null;null;null;null;18,71678
3;3,693372;null;null;null;null;40,16338
4;3,718144;null;null;null;null;40,60435
5;3,741988;null;null;null;null;41,71586
6;3,766758;null;null;null;null;40,37321
7;3,791319;null;null;null;null;40,71429
8;3,817326;null;null;null;null;38,6967
9;3,844356;null;null;null;null;36,89806
10;3,870584;null;null;null;null;37,96305
11;3,896232;null;null;null;null;39,50227
12;3,920033;null;null;null;null;41,3873
13;3,947007;null;null;null;null;37,17458
14;3,972585;null;null;null;null;39,09182
15;3,998476;null;null;null;null;38,81129
16;4,024889;null;null;null;null;37,65684
17;4,049917;null;null;null;null;39,96563
18;4,075934;null;null;null;null;38,66363
19;4,103362;null;null;null;null;36,24922
20;4,130223;72,70;698,84;5,35;302,44;37,22274
21;4,157264;null;null;null;null;37,11498
22;4,183148;null;null;null;null;38,57162
23;4,207068;null;null;null;null;41,73605
24;4,233436;null;null;null;null;37,95139
25;4,25868;null;null;null;null;39,72179
26;4,283737;null;null;null;null;39,72794
27;4,308874;null;null;null;null;39,81034
28;4,334289;null;null;null;null;39,46859
29;4,375615;null;null;null;null;24,30069
30;4,405845;null;null;null;null;32,77002
31;4,436564;null;null;null;null;32,69096
32;4,468948;null;null;null;null;30,75163
33;4,49975;null;null;null;null;32,66085
34;4,530221;null;null;null;null;32,63739
35;4,560069;null;null;null;null;33,68296
36;4,589845;null;null;null;null;33,36681
37;4,622736;26,12;746,84;7,54;302,44;30,5687
38;4,666399;null;null;null;null;22,97013
39;4,698543;null;null;null;null;30,95257
40;4,730719;null;null;null;null;30,98546
41;4,762035;null;null;null;null;32,12315
42;4,792688;null;null;null;null;32,45626
43;4,82309;null;null;null;null;33,10622
44;4,853074;null;null;null;null;33,14046
45;4,884082;null;null;null;null;32,36717
46;4,91414;null;null;null;null;33,10206
47;4,944047;null;null;null;null;33,77671
48;4,974203;null;null;null;null;32,84309
49;5,005168;null;null;null;null;32,43794
50;5,034372;null;null;null;null;34,05913
51;5,065373;null;null;null;null;32,40609
52;5,095896;null;null;null;null;32,88392
53;5,127127;29,67;746,84;8,66;302,44;31,89213
54;5,157095;null;null;null;null;33,34467
55;5,18729;null;null;null;null;33,04998
56;5,217856;null;null;null;null;32,88824
57;5,248312;null;null;null;null;32,62376
58;5,278804;null;null;null;null;32,94926
59;5,308603;null;null;null;null;33,39746
60;5,338471;null;null;null;null;33,61718
61;5,36908;null;null;null;null;32,53122
62;5,399494;null;null;null;null;33,04605
63;5,430358;null;null;null;null;32,24693
64;5,460014;null;null;null;null;33,95724
65;5,489076;null;null;null;null;34,16502
66;5,518266;null;null;null;null;34,50715
67;5,547207;null;null;null;null;34,36037
68;5,576479;null;null;null;null;34,25056
69;5,606202;null;null;null;null;33,6087
70;5,636723;28,67;746,84;9,11;302,44;32,88478
71;5,66679;null;null;null;null;33,17266
72;5,697202;null;null;null;null;32,93689
73;5,727331;null;null;null;null;33,02794
74;5,757139;null;null;null;null;33,72556
75;5,788124;null;null;null;null;32,07009
76;5,817914;null;null;null;null;33,78915
77;5,847257;null;null;null;null;33,85263
78;5,87816;null;null;null;null;32,54657
79;5,90785;null;null;null;null;33,56425
80;5,938406;null;null;null;null;32,84536
81;5,967061;null;null;null;null;34,72379
82;5,996775;null;null;null;null;33,808
83;6,025548;null;null;null;null;34,56894
84;6,054591;null;null;null;null;34,39215
85;6,083141;null;null;null;null;35,23919
86;6,112378;null;null;null;null;34,05832
87;6,14168;28,18;746,84;9,02;302,44;34,27451
88;6,170294;null;null;null;null;34,81034
89;6,199476;null;null;null;null;34,35033
90;6,228185;null;null;null;null;34,70559
91;6,257483;null;null;null;null;34,29802
92;6,287662;null;null;null;null;33,03405
93;6,317278;null;null;null;null;33,90807
94;6,345938;null;null;null;null;34,70523
95;6,375546;null;null;null;null;33,94445
96;6,405346;null;null;null;null;33,41241
97;6,434589;null;null;null;null;34,17623
98;6,463445;null;null;null;null;34,821
99;6,49283;null;null;null;null;33,85939
100;6,523192;null;null;null;null;33,07294
101;6,551309;null;null;null;null;35,47395
102;6,580386;null;null;null;null;34,44712
103;6,609677;null;null;null;null;34,01881
104;6,63882;27,57;746,84;9,26;302,44;34,4514
105;6,668858;null;null;null;null;33,23706
106;6,697466;null;null;null;null;35,1505
107;6,726532;null;null;null;null;34,14298
108;6,755313;null;null;null;null;34,95171
109;6,783588;null;null;null;null;35,13025
110;6,812263;null;null;null;null;34,84102
111;6,841867;null;null;null;null;33,99961
112;6,871202;null;null;null;null;33,97212
113;6,900371;null;null;null;null;34,44534
114;6,929581;null;null;null;null;34,08003
115;6,95837;null;null;null;null;34,80489
116;6,987216;null;null;null;null;34,55676
117;7,01602;null;null;null;null;34,96675
118;7,044458;null;null;null;null;34,89342
119;7,073575;null;null;null;null;34,41737
120;7,102608;null;null;null;null;34,55986
121;7,131331;27,49;746,84;9,37;302,44;34,59071
122;7,160068;null;null;null;null;34,96846
123;7,188238;null;null;null;null;35,29877
124;7,216794;null;null;null;null;35,22876
125;7,245389;null;null;null;null;34,83192
126;7,273812;null;null;null;null;35,14716
127;7,30231;null;null;null;null;35,48125
128;7,330442;null;null;null;null;35,15383
129;7,359112;null;null;null;null;35,06274
130;7,387341;null;null;null;null;35,2669
131;7,415699;null;null;null;null;35,40124
132;7,443952;null;null;null;null;35,19664
133;7,472624;null;null;null;null;34,9873
134;7,501536;null;null;null;null;34,76266
135;7,530059;null;null;null;null;34,80585
136;7,558984;null;null;null;null;34,76
137;7,58751;null;null;null;null;34,87772
138;7,616248;27,07;746,84;9,32;302,44;34,95795
139;7,64458;null;null;null;null;35,19318
140;7,673107;null;null;null;null;35,14692
141;7,701866;null;null;null;null;35,01487
142;7,729776;null;null;null;null;35,39071
143;7,758515;null;null;null;null;35,00163
144;7,786891;null;null;null;null;35,09129
145;7,815557;null;null;null;null;35,03019
146;7,843791;null;null;null;null;35,18711
147;7,872891;null;null;null;null;34,44131
148;7,901346;null;null;null;null;35,27461
149;7,931042;null;null;null;null;33,58308
150;7,959342;null;null;null;null;35,48339
151;7,987674;null;null;null;null;35,11002
152;8,015862;null;null;null;null;35,64948
153;8,044781;null;null;null;null;34,38482
154;8,072971;null;null;null;null;35,47647
155;8,101486;null;null;null;null;35,26677
156;8,12964;27,03;746,84;9,14;302,44;35,27038
157;8,158314;null;null;null;null;35,10706
158;8,186386;null;null;null;null;35,39472
159;8,214323;null;null;null;null;35,86222
160;8,242865;null;null;null;null;35,1959
161;8,272093;null;null;null;null;34,05774
162;8,30093;null;null;null;null;34,95098
163;8,332216;null;null;null;null;31,88745
164;8,406687;null;null;null;null;13,47226
165;8,435648;null;null;null;null;34,19365
166;8,464716;null;null;null;null;34,33641
167;8,493772;null;null;null;null;34,34526
168;8,521953;null;null;null;null;35,61
169;8,550423;null;null;null;null;34,98914
170;8,579299;null;null;null;null;34,82998
171;8,607752;null;null;null;null;34,91596
172;8,636852;27,24;748,84;13,27;506,88;34,60255
