lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
1;187.937;0.104339;967.324;0;0.0234375;0.75348
2;188.386;123.593;1056.56;0;324.328;2.22549
3;188.535;42.4163;1166.99;0;198.938;6.96841
4;188.901;115.262;1197.34;916.772;871.438;2.67993
5;189.283;118.783;1216.55;49.1978;877.969;2.6167
6;189.366;25.2996;1204.35;55.1476;829.109;12.1784
7;189.455;26.2517;1222.74;55.242;931.297;11.7778
8;189.542;25.7771;1221.05;47.5873;997.172;11.35
9;189.634;23.0328;1222.84;46.6472;960.906;10.899
10;189.725;23.4323;1224.59;44.2498;1075.42;11.1104
11;189.809;23.5244;1227.2;45.9284;944.703;11.8219
12;189.904;26.2518;1229.65;45.8103;1022.78;10.5582
13;189.99;24.461;1231.29;46.5903;1060.98;11.4507
14;190.076;22.9687;1234.13;46.0306;1024.3;11.7494
15;190.162;24.4845;1236.65;45.5712;985.828;11.5121
16;190.25;23.2107;1232.49;46.0667;1033.48;11.6241
17;190.336;24.8997;1232.8;45.9323;1004.88;11.3627
18;190.423;23.1246;1233.57;44.99;982.219;11.6531
19;190.508;25.2465;1234.69;46.6319;1003.19;11.3927
20;190.589;25.5508;1235.19;45.0414;1019.69;12.2814
21;190.671;24.6421;1235.88;45.5496;1048.24;12.5434
22;190.75;25.7409;1235.94;45.8454;981.875;11.9374
23;190.829;24.8307;1236.5;45.0254;984.453;12.744
24;190.919;22.2504;1237.27;45.6237;1004.2;11.8462
25;191.005;27.3429;1237.52;46.6702;1058.58;11.1194
26;191.087;24.5951;1237.33;45.6505;1077.14;12.506
27;191.169;25.6436;1237.58;47.1844;944.016;11.9655
28;191.251;25.9363;1237.63;45.6254;1045;12.2979
29;191.331;25.0248;1238;46.2538;1016.25;12.3809
30;191.412;25.6656;1237.97;46.1563;1077.48;12.309
31;191.492;24.4989;1236.18;46.0487;1024.16;12.6851
32;191.575;26.6119;1237.42;46.4605;965.547;11.6899
33;191.657;25.4265;1237.46;45.799;1005.91;12.4196
34;191.738;25.1631;1237.43;45.8497;1061.33;12.305
35;191.819;24.2683;1237.61;46.7982;1056.17;12.5483
36;191.901;25.9228;1238.31;47.1118;1046.7;12.155
37;191.982;25.7589;1238.61;46.5629;959.656;12.3811
38;192.064;26.5839;1238.86;47.5104;941.609;11.8236
39;192.15;27.3014;1238.55;46.041;930.609;11.4336
40;192.239;24.8075;1238.45;45.2487;1032.62;12.2236
41;192.328;26.1476;1238.6;46.1171;966.406;11.0646
42;192.413;25.6374;1238.86;45.3498;945.906;11.4618
43;192.497;25.1495;1239.49;44.8183;995.258;11.9104
44;192.581;25.5606;1239.85;46.1165;928.891;11.7907
45;192.667;25.1903;1239.05;45.8824;1034.17;11.7604
46;192.748;25.299;1238.99;46.0693;968.469;12.2618
47;192.835;28.1812;1239.34;46.263;993.391;11.3193
48;192.921;25.6157;1239.29;45.4442;940.555;12.1998
49;193.007;28.713;1239.23;46.5627;999.062;11.1102
50;193.086;25.0596;1239.61;44.8514;924.078;12.4916
51;193.17;25.6607;1239.97;45.8976;1017.11;12.1954
52;193.25;25.5137;1239.98;45.62;1035.89;12.5872
53;193.329;25.4515;1240.18;45.8799;1002.67;12.4678
54;193.41;25.685;1240.38;45.9252;1003.88;12.2896
55;193.492;23.8095;1240.32;45.9484;948.828;12.635
56;193.584;27.5219;1240.44;47.1709;979.812;10.8243
57;193.669;25.1151;1240.49;46.8334;1034.52;11.8781
58;193.75;25.7848;1240.75;46.331;960.688;11.8681
59;193.836;26.9946;1240.43;45.6664;920.984;11.5542
60;193.92;25.849;1240.47;46.2659;981.703;12.3241
61;194;25.1646;1240.27;46.7396;967.438;12.2188
62;194.082;25.265;1240.41;46.8;974.312;12.4225
63;194.164;26.079;1240.45;47.7036;947.281;11.9263
64;194.245;25.7095;1240.77;46.8696;1043.45;12.4422
65;194.323;25.4837;1240.88;46.3379;962.969;12.5472
66;194.41;25.703;1241.1;46.4299;1014.02;11.9837
67;194.492;26.1252;1241.37;45.2182;982.391;12.1315
68;194.571;25.8006;1240.95;45.0322;973.625;12.2556
69;194.656;25.659;1240.76;45.32;1019.69;12.0995
70;194.737;25.4644;1241.13;45.5428;1060.98;12.1984
71;194.818;25.216;1241.41;45.8975;939.375;12.7053
72;194.906;27.6646;1237.88;46.3127;970.875;11.3689
73;194.991;28.6079;1237.89;44.8949;1003.53;11.2182
74;195.075;25.1082;1237.98;45.5223;1105.55;12.5745
75;195.153;24.7807;1238.52;46.4794;993.391;12.479
76;195.231;25.6533;1238.71;46.1401;926.141;12.3773
77;195.312;25.2235;1238.7;45.7558;1001.81;12.5673
78;195.394;25.0364;1238.58;45.4814;1025.23;12.3601
79;195.473;25.7604;1238.67;45.5572;924.078;12.2604
80;195.556;24.9044;1238.66;46.0647;938;12.1162
81;195.639;25.2979;1238.71;46.3282;1002.33;12.4357
82;195.72;25.978;1238.59;46.6529;1032.45;12.1059
83;195.801;25.8037;1238.56;46.3508;965.375;12.2747
84;195.882;25.337;1238.61;46.4376;1010.75;12.5504
85;195.961;25.8347;1238.48;46.4943;973.281;12.4394
86;196.043;25.0948;1238.52;46.1323;1069.58;12.592
87;196.122;24.7203;1238.57;46.1399;1012.62;12.5465
88;196.199;25.6118;1238.66;46.6418;853.906;12.3668
89;196.284;26.0922;1238.7;46.3957;1044.83;12.2697
90;196.364;25.4129;1238.89;45.7541;1023.81;12.4414
91;196.443;25.4745;1238.94;45.7337;1014.19;12.5016
92;196.524;24.9512;1239.07;45.7317;1007.31;12.5374
93;196.607;25.8797;1239;45.5214;971.391;12.3398
94;196.69;25.7562;1238.32;45.4414;1049.3;11.936
95;196.772;25.5878;1238.54;44.6467;943.156;12.3805
96;196.856;25.3231;1238.57;44.8018;1006.11;11.9632
97;196.935;26.2448;1238.5;44.5846;985.656;12.1497
98;197.016;25.5427;1238.58;45.7776;1015.39;12.5232
99;197.097;25.4691;1238.53;45.5232;950.375;12.0512
100;197.179;25.4004;1218.99;45.3296;1035.89;12.5337
101;197.264;24.0445;1219.2;46.4001;1071.98;12.4388
102;197.353;27.2823;1211.27;46.2535;1000.61;10.8531
103;197.439;24.5093;1211.27;43.5986;1026.61;11.6666
104;197.523;25.0111;1211.24;45.4;1018.48;11.8255
105;197.612;27.4805;1211.33;45.0199;997.344;11.1671
106;197.697;25.6185;1211.18;43.9579;952.609;11.7596
107;197.783;28.4607;1211.38;45.3732;964.688;11.2414
108;197.864;25.281;1211.3;43.9893;1017.97;12.5459
109;197.945;25.2305;1207.64;45.7735;1020.55;12.4043
110;198.024;25.4805;1207.54;45.4223;1072.16;12.5769
111;198.104;23.9543;1207.59;45.7363;1076.8;12.8828
112;198.181;25.7106;1195.87;46.1193;951.922;12.4619
113;198.259;25.6823;1196.08;45.6376;909.125;12.4121
114;198.343;25.2724;1196.41;45.6227;1055.31;12.5902
115;198.423;25.5833;1196.18;45.7588;977.75;12.3151
116;198.507;25.4494;1196.32;45.604;982.391;12.2166
