lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
0;3,351099;null;null;null;null;50
1;3,515909;null;null;null;null;50
2;3,54071;null;null;null;null;24,62976
3;3,565947;null;null;null;null;39,41368
4;3,594202;null;null;null;null;35,50014
5;3,622766;null;null;null;null;35,14914
6;3,647226;null;null;null;null;40,62069
7;3,671079;null;null;null;null;41,81004
8;3,696767;null;null;null;null;38,95598
9;3,722351;null;null;null;null;39,6646
10;3,748121;null;null;null;null;38,27854
11;3,77331;null;null;null;null;39,63944
12;3,799378;null;null;null;null;38,40054
13;3,824833;null;null;null;null;39,46096
14;3,849332;null;null;null;null;40,55413
15;3,873075;null;null;null;null;42,09694
16;3,897541;null;null;null;null;41,2686
17;3,92326;null;null;null;null;38,85472
18;3,948324;null;null;null;null;39,60929
19;3,975138;null;null;null;null;37,30202
20;4,00167;64,38;698,84;6,94;265,52;39,79783
21;4,028173;null;null;null;null;36,03746
22;4,05463;null;null;null;null;37,53444
23;4,080276;null;null;null;null;39,20415
24;4,10585;null;null;null;null;38,99533
25;4,131694;null;null;null;null;38,63928
26;4,156388;null;null;null;null;40,39996
27;4,181717;null;null;null;null;39,68222
28;4,207185;null;null;null;null;39,17129
29;4,233905;null;null;null;null;37,51064
30;4,273378;null;null;null;null;25,30928
31;4,30498;null;null;null;null;31,71915
32;4,335602;null;null;null;null;32,5253
33;4,365135;null;null;null;null;34,00216
34;4,394923;null;null;null;null;33,46743
35;4,425197;null;null;null;null;33,20638
36;4,454901;null;null;null;null;33,4653
37;4,484198;null;null;null;null;34,263
38;4,513752;25,69;746,84;9,35;265,52;33,69738
39;4,554174;null;null;null;null;24,89804
40;4,584192;null;null;null;null;33,18885
41;4,614315;null;null;null;null;33,10042
42;4,645945;null;null;null;null;31,72297
43;4,67506;null;null;null;null;34,1396
44;4,704758;null;null;null;null;33,82824
45;4,734085;null;null;null;null;33,95505
46;4,765129;null;null;null;null;32,32376
47;4,794378;null;null;null;null;34,16537
48;4,823628;null;null;null;null;34,28286
49;4,854913;null;null;null;null;31,78438
50;4,884836;null;null;null;null;33,55311
51;4,914487;null;null;null;null;33,58669
52;4,944612;null;null;null;null;33,4793
53;4,976727;null;null;null;null;30,95218
54;5,009403;28,85;746,84;10,10;265,52;30,69358
55;5,039186;null;null;null;null;33,41576
56;5,069273;null;null;null;null;33,46183
57;5,098786;null;null;null;null;33,62463
58;5,129135;null;null;null;null;33,12311
59;5,159768;null;null;null;null;32,45499
60;5,189489;null;null;null;null;33,8735
61;5,355924;null;null;null;null;29,97898
62;5,386044;null;null;null;null;6,153619
63;5,414951;null;null;null;null;33,70726
64;5,44394;null;null;null;null;34,7068
65;5,473308;null;null;null;null;33,82755
66;5,50226;38,52;746,84;9,88;265,52;34,77233
67;5,530957;null;null;null;null;34,60423
68;5,560253;null;null;null;null;34,29003
69;5,589473;null;null;null;null;34,0798
70;5,620639;null;null;null;null;32,21307
71;5,649836;null;null;null;null;34,01904
72;5,678844;null;null;null;null;34,45104
73;5,707148;null;null;null;null;35,50897
74;5,736069;null;null;null;null;34,61741
75;5,76712;null;null;null;null;32,28243
