lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
0;3,432681;null;null;null;null;50
1;3,644439;null;null;null;null;50
2;3,683322;null;null;null;null;16,76733
3;3,725665;null;null;null;null;23,68277
4;3,764148;null;null;null;null;25,96404
5;3,802556;null;null;null;null;25,83365
6;3,842652;null;null;null;null;25,00894
7;3,876212;null;null;null;null;29,72634
8;3,911278;null;null;null;null;28,73786
9;3,955679;null;null;null;null;22,43299
10;3,990476;null;null;null;null;28,7692
11;4,028509;null;null;null;null;26,3108
12;4,06867;null;null;null;null;24,90728
13;4,107147;null;null;null;null;26,07827
14;4,183588;97,24;698,84;4,27;265,52;13,11474
15;4,220635;null;null;null;null;26,65373
16;4,254641;null;null;null;null;29,57451
17;4,290325;null;null;null;null;28,26823
18;4,330242;null;null;null;null;24,96337
19;4,364498;null;null;null;null;29,18839
20;4,427227;null;null;null;null;16,05474
21;4,473794;null;null;null;null;21,17675
22;4,518298;null;null;null;null;22,45118
23;4,561664;null;null;null;null;23,13706
24;4,609997;null;null;null;null;20,68501
25;4,651905;37,77;746,84;7,80;265,52;23,8725
26;4,705395;null;null;null;null;18,6734
27;4,746173;null;null;null;null;24,41615
28;4,78949;null;null;null;null;23,15635
29;4,827642;null;null;null;null;26,20065
30;4,869503;null;null;null;null;23,84205
31;4,912409;null;null;null;null;23,36219
32;4,96043;null;null;null;null;20,75998
33;5,006628;null;null;null;null;21,70483
34;5,045938;null;null;null;null;25,41464
35;5,082978;null;null;null;null;26,9832
36;5,12462;42,14;746,84;7,94;265,52;24,05303
37;5,165754;null;null;null;null;24,32173
38;5,208528;null;null;null;null;23,30981
39;5,248244;null;null;null;null;25,12986
40;5,29072;null;null;null;null;23,62882
41;5,332718;null;null;null;null;23,80845
42;5,37351;null;null;null;null;24,59202
43;5,41933;null;null;null;null;21,7817
44;5,462691;null;null;null;null;23,02503
45;5,506463;null;null;null;null;22,92306
46;5,549379;null;null;null;null;23,25392
47;5,590045;null;null;null;null;24,81322
48;5,632974;38,99;746,84;7,59;265,52;23,11588
49;5,679033;null;null;null;null;21,7177
50;5,719789;null;null;null;null;24,48993
51;5,757332;null;null;null;null;26,70862
52;5,806267;null;null;null;null;20,40541
53;5,844263;null;null;null;null;26,28245
54;5,887276;null;null;null;null;23,22093
55;5,930273;null;null;null;null;23,34163
56;5,980647;null;null;null;null;19,78893
57;6,019225;null;null;null;null;25,95596
58;6,061732;null;null;null;null;23,57417
59;6,098864;null;null;null;null;26,92464
60;6,147547;39,29;746,84;8,08;265,52;20,55558
61;6,18441;null;null;null;null;27,02608
62;6,226712;null;null;null;null;23,78376
63;6,266803;null;null;null;null;24,78352
64;6,304336;null;null;null;null;26,64365
65;6,348921;null;null;null;null;22,43974
66;6,388968;null;null;null;null;24,95545
67;6,425241;null;null;null;null;27,5713
68;6,470631;null;null;null;null;22,02507
69;6,509028;null;null;null;null;26,05395
70;6,549744;null;null;null;null;24,59534
71;6,593535;null;null;null;null;22,78683
72;6,636002;38,08;746,84;7,00;265,52;23,55041
73;6,672673;null;null;null;null;27,36802
74;6,713757;null;null;null;null;24,37514
75;6,757319;null;null;null;null;22,93531
76;6,797062;null;null;null;null;25,09461
77;6,832953;null;null;null;null;27,85717
78;6,874816;null;null;null;null;24,06183
79;6,918311;null;null;null;null;22,92106
80;6,962099;null;null;null;null;22,78615
81;7,002644;null;null;null;null;24,6014
82;7,044703;null;null;null;null;23,92064
83;7,083879;null;null;null;null;25,38496
84;7,126077;37,91;746,84;7,20;265,52;23,78325
85;7,170225;null;null;null;null;22,55285
86;7,212211;null;null;null;null;23,90709
87;7,250491;null;null;null;null;26,19289
88;7,294654;null;null;null;null;22,63427
89;7,333148;null;null;null;null;25,87731
90;7,375725;null;null;null;null;23,44127
91;7,414316;null;null;null;null;25,95306
92;7,45629;null;null;null;null;23,83103
93;7,50106;null;null;null;null;22,33464
94;7,543869;null;null;null;null;23,41339
95;7,581189;null;null;null;null;26,6357
96;7,621697;null;null;null;null;24,7732
97;7,659068;38,16;746,84;7,14;265,52;26,69956
98;7,701349;null;null;null;null;23,78653
99;7,744827;null;null;null;null;23,06475
100;7,787051;null;null;null;null;23,65598
101;7,82382;null;null;null;null;26,96101
102;7,866547;null;null;null;null;23,5538
103;7,904397;null;null;null;null;26,38996
104;7,950035;null;null;null;null;21,84493
105;7,987199;null;null;null;null;26,90501
106;8,030888;null;null;null;null;22,87879
107;8,066547;null;null;null;null;28,07467
108;8,10949;null;null;null;null;23,29525
109;8,152772;37,68;746,84;7,22;265,52;23,10712
110;8,192764;null;null;null;null;24,95421
111;8,237493;null;null;null;null;22,32372
112;8,272593;null;null;null;null;28,67088
113;8,313249;null;null;null;null;24,57383
114;8,359604;null;null;null;null;21,67082
115;8,425883;null;null;null;null;15,09548
116;8,464664;null;null;null;null;25,54507
117;8,507876;null;null;null;null;23,15769
118;8,547545;null;null;null;null;25,16774
119;8,586198;null;null;null;null;25,96115
120;8,6345;38,85;748,84;11,05;469,96;20,75787
121;8,674143;null;null;null;null;25,09014
122;8,713337;null;null;null;null;25,51105
123;8,756519;null;null;null;null;23,39471
124;8,799778;null;null;null;null;22,91775
125;8,839838;null;null;null;null;25,01107
126;8,882664;null;null;null;null;23,39373
127;8,933509;null;null;null;null;19,83627
128;8,981915;null;null;null;null;20,44664
129;9,030664;null;null;null;null;20,63255
130;9,087255;null;null;null;null;17,69332
131;9,135294;38,08;748,84;7,83;470,56;20,8221
132;9,18096;null;null;null;null;21,94436
133;9,228894;null;null;null;null;20,71444
134;9,277214;null;null;null;null;20,75068
135;9,32218;null;null;null;null;22,2321
136;9,360739;null;null;null;null;26,06413
137;9,407296;null;null;null;null;21,63317
138;9,454308;null;null;null;null;21,22822
139;9,504891;null;null;null;null;19,5157
140;9,544947;null;null;null;null;24,91976
141;9,587911;null;null;null;null;23,26707
142;9,641008;43,67;748,84;8,77;470,56;18,90774
143;9,682996;null;null;null;null;23,6987
144;9,727763;null;null;null;null;22,36981
145;9,768427;null;null;null;null;24,5415
146;9,805889;null;null;null;null;26,68517
147;9,847305;null;null;null;null;24,10202
148;9,888584;null;null;null;null;24,32398
149;9,931452;null;null;null;null;23,26961
150;9,976856;null;null;null;null;22,06531
151;10,02437;null;null;null;null;21,04971
152;10,06306;null;null;null;null;25,70357
153;10,10688;null;null;null;null;22,94688
154;10,15721;40,15;748,84;8,46;470,59;19,90422
155;10,20533;null;null;null;null;20,99076
156;10,25386;null;null;null;null;20,33086
157;10,29961;null;null;null;null;21,80763
158;10,34236;null;null;null;null;23,39619
159;10,38841;null;null;null;null;21,78094
160;10,43584;null;null;null;null;21,08539
161;10,4916;null;null;null;null;17,94617
162;10,52953;null;null;null;null;26,32265
163;10,57406;null;null;null;null;22,43913
164;10,61723;null;null;null;null;23,09431
165;10,65797;41,65;748,84;8,78;472,95;24,57359
166;10,69749;null;null;null;null;25,31549
167;10,74176;null;null;null;null;22,84487
168;10,78622;null;null;null;null;22,36216
169;10,84432;null;null;null;null;17,20954
170;10,89271;null;null;null;null;20,61741
171;10,94108;null;null;null;null;20,67213
172;10,98829;null;null;null;null;21,21786
173;11,03681;null;null;null;null;20,52103
174;11,07487;null;null;null;null;26,28148
175;11,11741;null;null;null;null;23,69202
176;11,15912;42,02;748,84;8,44;474,10;23,85251
177;11,20419;null;null;null;null;22,18918
178;11,24512;null;null;null;null;24,38959
179;11,28697;null;null;null;null;23,90189
180;11,33088;null;null;null;null;22,71416
181;11,37396;null;null;null;null;23,27595
182;11,41785;null;null;null;null;22,76836
183;11,45619;null;null;null;null;26,05714
184;11,50043;null;null;null;null;22,62172
185;11,53936;null;null;null;null;25,81571
186;11,58116;null;null;null;null;23,80754
187;11,61562;null;null;null;null;29,14568
188;11,65683;40,40;748,84;8,46;474,18;24,24936
189;11,70131;null;null;null;null;22,36046
190;11,73957;null;null;null;null;26,22077
191;11,78373;null;null;null;null;22,66736
192;11,8253;null;null;null;null;24,19392
193;11,86363;null;null;null;null;25,88655
194;11,9067;null;null;null;null;23,19992
195;11,94714;null;null;null;null;25,02797
196;11,98496;null;null;null;null;26,11873
197;12,02123;null;null;null;null;27,48302
198;12,06162;null;null;null;null;24,92989
199;12,10175;null;null;null;null;24,85923
200;12,14352;37,77;748,84;8,27;474,86;23,89937
201;12,18267;null;null;null;null;25,60406
202;12,2234;null;null;null;null;24,52086
203;12,25905;null;null;null;null;28,14103
204;12,2988;null;null;null;null;25,07378
205;12,33958;null;null;null;null;24,5544
206;12,38048;null;null;null;null;24,38317
207;12,41582;null;null;null;null;28,35657
208;12,45599;null;null;null;null;25,01601
209;12,50294;null;null;null;null;21,19448
210;12,53871;null;null;null;null;28,06868
211;12,58707;null;null;null;null;20,66321
212;12,62495;36,08;748,84;7,79;475,46;26,35525
