lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
1;420.626;3.00474;870.371;0;0.0234375;0.596666
2;421.388;189.061;975.805;0;0.0390625;1.30498
3;421.64;66.9658;1045.79;0;0.0390625;3.95354
4;422.142;137.713;1085.53;1408.78;1053.91;1.99386
5;422.693;131.61;1100.91;66.716;1376.73;1.88326
6;422.835;37.3934;1094.94;82.4391;1376.73;6.80564
7;422.985;38.6553;1103.06;80.186;1376.73;6.54718
8;423.124;33.7705;1104.91;79.7452;1389.62;7.43637
9;423.27;34.9505;1106.69;79.1502;1376.73;6.87219
10;423.414;37.7229;1103.62;79.0056;1376.73;6.80352
11;423.552;38.5455;1103.93;81.3411;1376.73;6.75528
12;423.692;40.3637;1104.52;84.509;1376.73;7.27125
13;423.824;42.5199;1106.36;79.3238;1382.83;7.36452
14;423.951;41.2234;1109.4;80.2606;1376.73;7.68947
15;424.078;39.4495;1110.08;78.7672;1376.73;8.10526
16;424.207;42.4242;1109.74;79.0039;1376.73;7.62094
17;424.34;42.1688;1111;78.8888;1383.16;7.74194
18;424.471;42.512;1107.89;78.8913;1383.16;7.4987
19;424.596;40.5228;1107.58;78.9003;1376.73;7.96088
20;424.726;41.8988;1106.54;79.2507;1376.73;7.63497
21;424.856;41.9908;1108.19;78.412;1382.83;7.70602
22;424.986;42.6102;1107.79;78.3091;1376.73;7.67129
23;425.115;41.2374;1108.2;78.4865;1383.16;7.78907
24;425.247;41.4411;1109.22;78.6922;1376.73;7.77773
25;425.378;43.6166;1109.13;78.9462;1382.83;7.43087
26;425.504;40.7894;1108.3;80.0876;1376.73;7.90554
27;425.631;40.2114;1108.65;78.9421;1382.61;7.97799
28;425.757;40.7902;1107.58;78.7046;1376.73;7.88441
29;425.879;39.0476;1109.88;79.1863;1382.83;8.3207
30;426.001;39.8649;1111.68;79.2926;1376.73;8.08792
31;426.13;41.9651;1112.59;79.455;1376.73;7.76098
32;426.263;42.8061;1112.24;78.5755;1383.16;7.65786
33;426.391;41.7963;1110.28;78.5973;1376.84;7.71725
34;426.527;44.4195;1110.3;79.5382;1383.16;7.32865
35;426.661;38.5093;1109.58;79.2933;1383.16;7.90968
36;426.793;39.7028;1109.77;78.7775;1376.73;7.39849
37;426.935;39.7394;1110.32;79.1007;1376.73;7.26229
38;427.073;39.3762;1110.09;78.7566;1376.73;6.87748
39;427.208;40.5163;1110.08;78.7538;1376.73;7.30208
40;427.342;43.617;1109.44;78.8953;1383.16;7.47801
41;427.471;36.833;1109.3;79.418;1376.73;7.90651
42;427.601;42.2725;1109.28;78.5691;1448.57;7.67
43;427.724;40.5691;1109.43;79.5886;1382.83;8.10595
44;427.858;42.7353;1109.93;78.4992;1448.34;7.54046
45;427.985;42.7747;1109.88;78.1344;1383.16;7.63333
46;428.114;40.4786;1109.6;78.4244;1383.16;7.88789
47;428.238;41.3541;1109.38;78.9293;1376.73;7.91009
48;428.365;40.5257;1109.59;79.0773;1382.83;8.04611
49;428.497;42.901;1109.32;78.5215;1376.73;7.43065
50;428.623;37.4657;1111.28;79.3044;1376.73;8.14467
51;428.751;43.0984;1111.79;78.3167;1383.16;7.66631
52;428.884;43.4325;1111.81;79.2808;1376.73;7.5188
53;429.012;42.3449;1111.2;78.4733;1382.83;7.72265
54;429.139;39.8454;1110.86;79.0509;1376.73;8.15083
55;429.267;42.4976;1110.01;78.3144;1383.16;7.71254
56;429.398;42.2372;1109.71;78.1954;1383.16;7.70406
57;0.0311309;41.8612;1109.09;78.4466;1376.73;7.61869
58;0.161421;43.4119;1108.75;78.1455;1383.16;7.54691
59;0.291169;39.763;1108.84;78.2593;1376.73;7.94687
60;0.424024;43.0552;1109.02;78.3024;1383.16;7.4471
61;0.546608;40.0136;1109.34;79.1068;1376.73;8.07697
62;0.677322;41.6226;1110.24;78.4626;1448.08;7.77881
63;0.808503;43.3843;1110.29;78.6783;1376.73;7.49484
64;0.936593;40.9232;1109.84;78.9588;1376.73;7.93203
65;1.06858;43.304;1109.75;77.7414;1376.73;7.47492
66;1.19612;41.2845;1109.18;77.9489;1382.61;7.8531
67;1.32296;41.5895;1109.42;78.0694;1376.73;7.82635
68;1.45293;41.2568;1110.22;77.9028;1383.16;7.89546
69;1.57968;41.6432;1109.21;77.987;1383.16;7.74781
70;1.70624;41.4764;1109.45;79.1671;1382.83;7.86551
71;1.83326;41.805;1108.69;77.6034;1376.73;7.85735
72;1.96465;40.896;1104.55;77.568;1382.83;7.63667
73;2.09353;41.2976;1104.48;77.5006;1382.83;7.8512
74;2.21965;40.9453;1096.02;78.9053;1382.83;7.9064
75;2.35521;42.3168;1096.08;78.4361;1382.83;7.38411
76;2.48191;41.3154;1096.42;77.9678;1382.83;7.89009
77;2.60724;41.5177;1076.38;78.2449;1376.73;7.82277
78;2.73429;40.8567;1076.71;77.7543;1376.73;7.97831
79;2.86453;41.0065;1077.89;79.5804;1382.61;7.81781
80;2.99211;41.5821;1077.94;78.0028;1376.73;7.66981
81;3.12265;42.3314;1077.34;77.5927;1382.83;7.71868
82;3.25534;43.1399;1076.53;79.5001;1376.73;7.55942
83;3.38533;42.7036;1076.2;77.3273;1382.83;7.64276
84;3.51591;42.3567;1077.23;77.7964;1376.73;7.69338
85;3.63988;40.5505;1076.98;77.5546;1376.73;8.0003
