lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
1;75.8848;0.214801;820.812;0;7.98438;0.260438
2;76.2469;103.855;883.297;257.552;1376.73;2.71429
3;76.3507;28.3953;924.891;257.552;0.0390625;10.4148
4;76.4855;41.2412;967.785;36.6622;724.391;7.1754
5;76.5972;32.0375;958.793;17.5322;433.148;9.14113
6;76.7246;32.4199;977.891;17.0784;1359.08;9.39712
7;76.8076;32.2401;988.047;15.9187;1376.73;9.41281
8;76.8811;21.1249;992.277;15.9187;882.094;14.0859
9;76.9808;27.3279;1001.04;18.2695;1372.29;10.8947
10;77.0623;26.2578;1007.55;16.296;717;11.4727
11;77.155;26.6587;1011.43;18.4361;1215.25;11.1639
12;77.2438;27.4231;1014.07;15.338;781.648;11.2144
13;77.3275;26.4219;1018.15;17.1665;855.945;11.5931
14;77.4316;27.4865;1020.16;16.4552;1376.73;11.1631
15;77.5048;27.4225;1024.53;16.4552;1056.69;11.2149
16;77.6033;28.0445;1022.48;15.6732;1200.47;10.9771
17;77.6987;25.5537;1024.13;18.5655;1376.73;12.0084
18;77.7738;27.0543;1028.3;18.5655;439.188;11.2796
19;77.8768;29.2811;1028.9;16.964;1209.06;9.60972
20;77.974;28.7165;1030.65;16.6238;1158.34;10.7531
21;78.0659;28.1965;1030.87;17.0868;995.453;10.7817
22;78.1627;27.8472;1033.06;16.3897;1376.73;10.6822
23;78.2383;25.5753;1035.62;16.3897;1235.38;11.9534
24;78.3259;25.503;1035.85;16.87;1376.73;12.0634
25;78.42;27.2073;1034.92;17.3273;1376.73;11.3002
26;78.5137;27.8738;1035.17;16.8939;1376.73;11.1054
27;78.6161;31.9346;1030.54;16.3458;1382.83;9.68443
28;78.6815;25.5608;1031.69;16.3458;889.977;12.0206
29;78.7843;26.7263;1030.83;18.3773;1376.73;11.3241
30;78.8551;25.4356;1032.02;18.3773;907.75;12.1321
31;78.942;27.3839;1032.55;16.0563;812.266;11.2519
32;79.0303;27.4799;1033.51;16.9746;242.594;11.2032
33;79.1328;29.524;1032.62;15.9189;917.008;10.3072
34;79.2161;27.1869;1032.42;18.0595;1058.38;11.3809
35;79.3032;27.0951;1032.64;16.1533;1165.23;11.3549
36;79.3888;26.6209;1032.81;18.5274;1201.67;11.6087
37;79.4849;27.7192;1032.5;17.0711;1015.39;11.1356
38;79.5823;26.4699;1031.7;16.4174;1376.73;11.6799
39;79.668;31.9425;1032.07;18.2203;1376.73;9.62733
40;79.7564;27.0226;1033.27;16.7803;525.906;11.3439
41;79.8484;28.5772;1033.39;16.7803;939.031;10.8611
42;79.9438;25.6749;1032.99;15.9109;1376.73;11.5881
43;80.0223;24.4079;1033.83;18.3878;1106.58;12.2226
44;80.1159;25.8861;1033.99;16.851;1054.11;11.8265
45;80.2137;29.2325;1033.6;16.3342;1376.73;10.4948
46;80.2904;26.1372;1036.43;16.3342;311.219;11.5874
47;80.3869;32.2109;1035.35;17.683;997.836;9.5561
48;80.4933;26.1654;1034.4;18.4549;1376.73;11.8328
49;80.5911;33.0304;1035.35;15.2361;1376.73;9.10249
50;80.6736;25.9581;1037.82;15.2361;1376.73;11.8011
51;80.7725;27.194;1038.2;16.178;1376.73;11.313
52;80.867;31.1117;1038.26;17.948;1376.73;9.95552
53;80.9435;26.2087;1038.89;17.948;845.484;11.79
54;81.0302;27.6283;1039.26;15.9749;835;11.2089
55;81.1387;27.1897;1037.86;16.2192;1373.17;11.1805
56;81.2127;28.6358;1040.8;16.2192;143.719;10.724
57;81.3112;30.3655;1038.89;17.9204;916.148;10.1961
58;81.413;26.7465;1037.63;16.7591;1376.73;11.5672
59;81.4877;26.2615;1039.06;16.7591;863.359;11.7675
60;81.5784;29.2478;1039.88;16.2793;421.828;10.6024
61;81.6727;29.9;1038.98;17.8316;1125.8;10.3577
62;81.7722;29.4944;1038.97;18.7134;1142.48;10.4647
63;81.8616;29.4859;1038.81;15.1473;1270.3;10.5072
64;81.9379;23.1311;1038.82;15.1473;1233;13.3952
65;82.0237;26.3663;1040.64;18.4694;135.812;11.7025
66;82.123;29.2802;1039.56;17.9214;763.039;10.167
67;82.2129;27.5702;1039.54;15.2489;1127.03;10.9581
68;82.2916;23.7818;1040.16;17.0484;582.156;12.9272
69;82.3927;28.3409;1039.8;17.9794;1376.73;10.9302
70;82.4811;31.2217;1036.18;15.6734;1096.61;9.93314
71;82.5618;24.2662;1038.14;15.6734;994.594;12.7448
72;82.6539;28.6581;1039.62;16.248;695.297;10.7606
73;82.7578;26.9367;1038.1;18.1328;1376.73;11.422
74;82.8459;26.7783;1037.77;15.9675;1376.73;11.4549
75;82.9201;26.5646;1038.86;15.9675;1147.8;11.6462
76;83.0125;25.8208;1038.11;16.384;1376.73;11.8407
77;83.1102;25.7229;1038.41;18.0974;1382.83;11.7087
78;83.1836;31.0004;1039.33;15.6917;823.094;9.98674
79;83.2795;25.8143;1039.31;17.4673;808.289;11.864
80;83.3678;30.331;1039.72;17.4673;797.312;10.2193
81;83.4578;28.0242;1040.41;16.4978;281.117;11.0097
82;83.555;30.2815;1039.18;17.638;957.422;10.2444
83;83.6614;26.4113;1038.75;18.6992;1376.73;11.6383
84;83.7434;31.6859;1036.32;15.8446;865.938;9.6665
85;83.8386;25.6902;1038.66;17.8233;1376.73;12.0613
86;83.9259;29.9967;1036.58;16.4553;1145.59;9.98578
87;84.008;24.9173;1038.61;16.4553;770.844;12.3668
88;84.0969;27.4886;1041.63;16.922;480.484;11.2287
89;84.1937;28.4805;1041.28;15.9772;1300.23;10.6425
90;84.2838;26.3172;1040.98;17.6583;1376.73;11.6624
91;84.3709;27.9716;1041.48;16.9472;799.867;11.0257
92;84.4602;27.782;1041.63;16.5854;1283.41;11.127
93;84.5373;24.3842;1042.75;16.0853;588.516;12.6553
94;84.6255;27.6787;1042.68;17.4666;659.008;11.2366
95;84.7199;28.6838;1041.88;16.771;1002.48;10.5659
96;84.8217;25.1193;1042.2;16.1895;1376.73;12.1257
97;84.9034;31.1682;1043.51;17.0701;879.688;9.93695
98;84.9941;27.3209;1044.53;17.0701;360.766;11.3539
99;85.0912;29.6104;1044.49;15.3238;749.484;10.3266
100;85.1902;28.0962;1043.48;16.1759;1376.73;11.0094
101;85.2821;31.4516;1039.61;17.6664;990.961;9.79994
102;85.3654;26.1067;1042.47;17.6664;1128.23;11.8833
103;85.4582;27.0535;1043.98;16.3432;1081.61;11.3864
104;85.5504;25.6411;1044.95;16.03;1114.14;12.0395
105;85.6391;28.6063;1045.29;16.03;1376.73;10.8218
106;85.7185;24.8349;1045.07;18.0064;856.484;12.0365
107;85.8048;27.9391;1045.28;16.056;904.484;10.8462
108;85.8994;29.8394;1046.45;16.9893;1376.73;10.3395
109;85.9823;22.6022;1047.41;18.0365;852.164;13.6566
110;86.084;28.474;1047.36;15.9135;1376.73;10.781
111;86.1738;26.7762;1046.64;17.3675;1376.73;11.2461
112;86.2789;32.103;1043.38;17.4793;1382.83;9.64493
113;86.3603;26.6424;1045.92;17.4793;1329.64;11.5719
114;86.4339;27.1916;1046.96;16.2858;1195.12;11.3836
115;86.5186;25.1742;1047.95;15.8252;511.227;12.2693
116;86.6115;29.5601;1048.6;17.4996;233.312;10.4848
117;86.708;30.2667;1047.52;17.2466;876.078;10.2521
118;86.8006;24.731;1047.04;15.7696;1376.73;12.4165
119;86.8923;31.7661;1046.1;18.1918;1376.73;9.70142
120;86.98;22.4339;1046.21;16.7176;1376.73;13.7828
121;87.0597;26.9034;1047.1;16.7176;1030.22;11.4325
122;87.1458;27.1378;1047.18;16.1354;1176.41;11.0376
123;87.2424;27.5492;1046.93;15.8449;1376.73;11.0562
124;87.3498;30.907;1043.13;16.3965;1382.83;9.97215
125;87.4225;25.5392;1045.66;16.3965;700.453;12.0781
126;87.5256;30.8947;1046.17;15.8027;1376.73;10.0362
127;87.5985;25.8066;1047.04;15.8027;726.625;11.9811
128;87.6864;27.1554;1046.82;18.6884;949;11.4211
129;87.7858;26.0971;1045.83;17.5195;1376.73;11.8238
130;87.8721;30.4126;1043.82;15.59;1376.73;9.90137
131;87.9604;25.3181;1046;15.59;752.062;12.2265
132;88.0607;28.7135;1046.02;16.4806;1376.73;10.7497
133;88.1371;26.7929;1047.02;16.4806;514.906;11.5019
134;88.2277;29.1438;1046.23;16.5954;1005.59;10.6404
135;88.3154;26.8933;1047.17;16.6068;618.25;11.4828
136;88.4082;28.8305;1046.82;16.8717;798.859;10.6968
137;88.5044;25.9978;1046.43;16.9794;1376.73;11.9064
138;88.6059;25.3845;1046.47;16.684;1382.83;12.1803
139;88.6867;33.4035;1042.86;17.1252;1376.73;9.26309
140;88.7626;23.7209;1045.58;17.1252;854.914;13.0505
141;88.8565;27.9737;1045.12;16.6188;1219.94;10.9634
142;88.9319;25.0053;1046.83;17.594;637.156;12.2759
143;89.0292;27.8933;1046.29;15.5146;1376.73;11.1229
144;89.1208;29.9995;1044.98;16.1923;1376.73;9.99296
145;89.2146;22.1775;1045.42;18.217;1376.73;13.9237
146;89.311;31.9147;1045.15;15.5767;1376.73;9.69611
