lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
0;3,307664;null;null;null;null;50
1;3,473574;null;null;null;null;50
2;3,497695;null;null;null;null;22,17201
3;3,519903;null;null;null;null;44,99923
4;3,542446;null;null;null;null;44,21003
5;3,563901;null;null;null;null;46,60571
6;3,586248;null;null;null;null;44,70552
7;3,608148;null;null;null;null;45,68672
8;3,629942;null;null;null;null;45,98378
9;3,652416;null;null;null;null;44,40221
10;3,674622;null;null;null;null;45,20448
11;3,696335;null;null;null;null;46,0098
12;3,718546;null;null;null;null;44,90688
13;3,740016;null;null;null;null;46,54324
14;3,761432;null;null;null;null;46,67967
15;3,783333;null;null;null;null;46,22866
16;3,804731;null;null;null;null;46,20666
17;3,826747;null;null;null;null;45,98166
18;3,848956;null;null;null;null;45,0349
19;3,871023;null;null;null;null;45,58467
20;3,893648;null;null;null;null;44,28522
21;3,916261;null;null;null;null;44,12595
22;3,938313;null;null;null;null;45,04261
23;3,961939;57,00;698,84;6,12;265,52;41,87622
24;3,985657;null;null;null;null;42,15656
25;4,00796;null;null;null;null;44,76536
26;4,030534;null;null;null;null;44,4103
27;4,052735;null;null;null;null;45,24949
28;4,074533;null;null;null;null;45,56369
29;4,097326;null;null;null;null;45,15305
30;4,119265;null;null;null;null;44,36577
31;4,141277;null;null;null;null;45,41697
32;4,162632;null;null;null;null;46,76678
33;4,198499;null;null;null;null;28,07585
34;4,22502;null;null;null;null;37,40261
35;4,25289;null;null;null;null;36,35069
36;4,27916;null;null;null;null;37,82721
37;4,307264;null;null;null;null;35,32932
38;4,334325;null;null;null;null;37,14421
39;4,360647;null;null;null;null;37,77962
40;4,387635;null;null;null;null;37,08882
41;4,414598;null;null;null;null;37,21927
42;4,441496;null;null;null;null;37,00853
43;4,477998;22,88;746,84;8,21;265,52;27,65869
44;4,506269;null;null;null;null;35,26218
45;4,53332;null;null;null;null;37,2305
46;4,560209;null;null;null;null;36,93676
47;4,588196;null;null;null;null;35,69937
48;4,615469;null;null;null;null;37,32597
49;4,642698;null;null;null;null;36,10343
50;4,670169;null;null;null;null;36,81844
51;4,700204;null;null;null;null;33,45343
52;4,729595;null;null;null;null;33,59944
53;4,758929;null;null;null;null;34,30849
54;4,789163;null;null;null;null;32,87668
55;4,817266;null;null;null;null;35,70523
56;4,846071;null;null;null;null;34,92498
57;4,874193;null;null;null;null;35,32408
58;4,903699;null;null;null;null;33,75926
59;4,931965;null;null;null;null;35,53029
60;4,960413;26,83;746,84;8,34;265,52;35,25993
61;4,988087;null;null;null;null;35,47508
62;5,016947;null;null;null;null;34,84855
63;5,045811;null;null;null;null;34,46185
64;5,075284;null;null;null;null;34,08409
65;5,103033;null;null;null;null;35,91142
66;5,13076;null;null;null;null;36,00671
67;5,157922;null;null;null;null;37,12655
68;5,187621;null;null;null;null;33,66629
69;5,216379;null;null;null;null;34,97616
70;5,246215;null;null;null;null;33,66029
71;5,275264;null;null;null;null;34,31803
72;5,302716;null;null;null;null;35,83638
73;5,330662;null;null;null;null;35,83343
74;5,35871;null;null;null;null;35,81931
75;5,38668;null;null;null;null;35,57541
76;5,414688;null;null;null;null;35,92328
77;5,443328;null;null;null;null;34,70487
78;5,471612;26,97;746,84;8,46;265,52;35,33157
79;5,499299;null;null;null;null;36,3041
80;5,525671;null;null;null;null;37,82506
81;5,553469;null;null;null;null;36,58876
82;5,581308;null;null;null;null;35,25981
83;5,607939;null;null;null;null;37,55093
84;5,63484;null;null;null;null;37,30926
85;5,662388;null;null;null;null;36,13774
86;5,68971;null;null;null;null;36,59666
87;5,717912;null;null;null;null;35,73917
88;5,74466;null;null;null;null;37,09433
89;5,771081;null;null;null;null;37,84281
90;5,798716;null;null;null;null;36,35095
91;5,824966;null;null;null;null;37,92519
92;5,851206;null;null;null;null;38,10351
93;5,878127;null;null;null;null;37,38988
94;5,904209;null;null;null;null;38,04219
95;5,930632;null;null;null;null;37,89257
96;5,956896;26,11;746,84;8,71;265,52;38,2655
97;5,982614;null;null;null;null;38,6973
98;6,008156;null;null;null;null;39,16899
99;6,034763;null;null;null;null;37,79004
100;6,061571;null;null;null;null;37,72759
101;6,087409;null;null;null;null;38,02802
102;6,113476;null;null;null;null;38,55779
103;6,139222;null;null;null;null;38,72187
104;6,16475;null;null;null;null;39,06296
105;6,191748;null;null;null;null;37,05515
106;6,218434;null;null;null;null;38,05074
107;6,244682;null;null;null;null;37,74254
108;6,271614;null;null;null;null;37,17223
109;6,298127;null;null;null;null;37,85169
110;6,324991;null;null;null;null;37,11677
111;6,35274;null;null;null;null;35,92535
112;6,378806;null;null;null;null;38,17974
113;6,404651;null;null;null;null;38,73162
114;6,430843;null;null;null;null;38,14653
115;6,457605;25,00;746,84;8,69;265,52;37,63091
116;6,484371;null;null;null;null;37,12821
117;6,511288;null;null;null;null;37,59328
118;6,53902;null;null;null;null;36,13082
119;6,565596;null;null;null;null;37,13703
120;6,592109;null;null;null;null;37,61095
121;6,6193;null;null;null;null;37,04445
122;6,645863;null;null;null;null;37,42781
123;6,672249;null;null;null;null;37,88438
124;6,700047;null;null;null;null;36,17487
125;6,728527;null;null;null;null;34,93584
126;6,756615;null;null;null;null;35,81469
127;6,785321;null;null;null;null;34,63899
128;6,814511;null;null;null;null;34,38506
129;6,842275;null;null;null;null;35,91851
130;6,871012;null;null;null;null;34,75348
131;6,89872;null;null;null;null;36,37475
132;6,926305;null;null;null;null;36,0014
133;6,955012;25,75;746,84;8,92;265,52;35,05807
134;6,982999;null;null;null;null;35,48364
135;7,010147;null;null;null;null;36,8597
136;7,036925;null;null;null;null;37,42445
137;7,063832;null;null;null;null;37,11691
138;7,092812;null;null;null;null;34,62939
139;7,120244;null;null;null;null;36,27526
140;7,147625;null;null;null;null;36,50328
141;7,175025;null;null;null;null;36,7435
142;7,202685;null;null;null;null;35,92974
143;7,231244;null;null;null;null;34,99293
144;7,258608;null;null;null;null;36,80246
145;7,286001;null;null;null;null;36,22047
146;7,313669;null;null;null;null;36,45444
