lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
1;402.88;0.292345;914.391;0;0.0234375;0.624484
2;402.999;36.0078;1020.95;0;0.0390625;8.33768
3;403.151;44.2806;1070.79;179.044;31.1953;7.05255
4;403.264;38.8712;1107.79;32.82;1237.47;8.61544
5;403.337;24.9849;1115.24;9.7556;1376.73;13.4693
6;403.403;21.6003;1119.37;11.5268;1376.73;15.6354
7;403.471;22.0744;1140.34;11.016;1376.73;14.9773
8;403.534;22.6845;1143.6;11.7532;1389.62;15.1963
9;403.598;21.8701;1145.5;12.7492;1376.73;15.3711
10;403.666;21.5488;1149.43;11.1292;1376.73;15.2431
11;403.738;23.538;1135.69;10.7562;1376.73;13.8627
12;403.809;23.3479;1138.9;12.4159;1376.73;14.0733
13;403.879;23.2093;1144.25;11.6639;1376.73;14.2088
14;403.948;23.1536;1146.88;10.7859;1376.73;14.2309
15;404.019;22.9637;1145.04;10.7267;1376.73;14.3336
16;404.088;22.9673;1150.04;12.3158;1376.73;14.2821
17;404.157;22.824;1151;12.1942;1376.73;14.5973
18;404.227;23.4261;1147.86;10.0864;1376.73;14.2335
19;404.303;23.5736;1151.36;10.7566;1376.73;13.7677
20;404.371;24.2463;1151.09;12.3607;1376.73;13.8141
21;404.437;21.6657;1153.68;13.0283;1376.73;15.2289
22;404.507;23.2798;1156.96;10.6058;1376.86;14.6223
23;404.577;22.2287;1158.75;10.7228;1376.73;14.6451
24;404.647;24.7569;1162.96;12.2985;1376.73;13.6767
25;404.719;23.594;1159.83;12.3019;1376.73;14.1134
26;404.788;23.0657;1159.33;10.971;1376.73;14.3941
27;404.856;22.101;1159.91;10.1275;1376.73;14.8247
28;404.925;22.8232;1160.25;12.2403;1376.73;14.2711
29;404.993;22.9758;1159.66;12.4795;1376.73;14.5455
30;405.063;22.7686;1159.88;10.8397;1376.73;14.8256
31;405.13;23.537;1159.46;10.575;1376.73;14.3965
32;405.199;22.2802;1158.99;11.7504;1376.73;14.6367
33;405.268;23.1348;1159.15;12.3922;1376.73;14.7765
34;405.337;23.2258;1159.54;10.7572;1376.73;14.4179
35;405.407;23.9086;1159.34;10.6838;1376.73;14.2028
36;405.477;20.9914;1159.54;11.8072;1376.73;14.4491
37;405.546;20.3559;1162;12.4305;1376.73;14.6644
38;405.616;21.8091;1162.67;10.6923;1376.73;14.0788
39;405.689;21.3785;1162.7;10.809;1376.73;13.9842
40;405.758;20.8;1162.3;12.3224;1376.73;14.3365
41;405.83;21.9713;1162.01;11.7498;1376.73;13.8329
42;405.903;21.8071;1160.56;10.7275;1376.73;13.8677
43;405.975;22.8114;1160.73;10.6789;1376.73;13.5207
44;406.046;21.0198;1161.18;12.4436;1376.73;14.2754
45;406.118;22.5429;1161.28;12.2868;1376.73;13.864
46;406.193;23.3406;1160.21;10.3338;1376.73;13.3789
47;406.263;21.7354;1159.94;10.4758;1376.73;14.3151
48;406.336;22.8432;1159.35;12.3074;1376.73;13.6776
49;406.409;20.1882;1159.08;13.1091;1376.73;14.2011
50;406.479;23.4239;1159.12;10.2626;1376.73;13.424
51;406.546;22.3733;1159.89;10.4926;1376.73;14.9538
52;406.616;23.7852;1159.81;12.3726;1382.61;14.3274
53;406.683;22.7279;1159.98;12.2147;1376.73;14.9033
54;406.754;23.5054;1159.41;10.4758;1382.85;14.2975
55;406.822;22.9362;1159.67;9.8703;1376.73;14.7574
56;406.888;22.7723;1160.92;12.3361;1376.73;15.1536
57;406.958;24.0482;1161.9;12.3432;1376.73;14.3189
58;407.027;24.0155;1161.18;10.4773;1376.73;14.3191
59;407.095;22.9802;1159.99;10.4017;1376.73;14.4302
60;407.158;22.022;1161.25;11.8085;1376.73;15.6088
61;407.228;22.6431;1161.49;12.2597;1376.73;14.6871
62;407.298;23.6989;1161.69;10.648;1376.73;14.3732
63;407.37;23.7121;1161.26;10.406;1382.83;14.1634
64;407.437;23.4808;1160.29;11.8046;1376.73;14.5917
65;407.506;23.1712;1160.16;11.9023;1376.73;14.5195
66;407.571;22.5072;1159.93;10.4018;1376.73;15.2305
67;407.638;22.5156;1160.38;10.5558;1376.73;14.9938
68;407.707;22.9884;1160.19;12.161;1376.73;14.6802
69;407.773;23.3383;1160.25;11.5388;1376.73;14.7418
70;407.842;22.7278;1160.14;10.4507;1376.73;15.0109
71;407.909;23.4588;1159.66;10.4425;1376.73;14.5569
72;407.977;22.4041;1159.5;12.0753;1376.73;14.7548
73;408.046;23.0279;1159.58;12.0897;1376.84;14.8479
74;408.11;22.5595;1160.29;10.248;1376.73;15.1591
75;408.177;22.5098;1161.47;10.6178;1376.73;15.3499
76;408.244;22.9858;1161.2;12.2017;1376.73;14.89
77;408.309;22.5731;1161.52;12.6312;1376.73;15.0984
78;408.381;24.6237;1161.02;10.2892;1376.73;13.8721
79;408.448;23.2237;1161.07;10.1748;1376.73;14.7124
80;408.519;23.4764;1161.04;12.6049;1376.73;14.5621
81;408.588;24.253;1159.74;12.1626;1376.73;14.2206
82;408.655;23.5036;1159.68;10.6579;1376.73;14.6442
83;408.727;23.2282;1159.29;9.6988;1376.73;14.507
84;408.795;23.8799;1158.95;12.0308;1376.73;14.3741
85;408.865;23.3549;1158.32;12.1952;1382.83;14.5865
86;408.934;24.3531;1158.35;10.547;1382.83;14.132
87;409.002;23.1836;1158.06;10.2614;1376.73;14.8154
88;409.071;23.3111;1158.02;11.513;1376.73;14.5982
89;409.138;23.6767;1158.15;12.0565;1376.73;14.5524
90;409.207;21.3876;1158.36;10.4024;1376.73;14.7981
91;409.281;24.4832;1158.07;10.3101;1376.73;13.6021
92;409.349;23.3032;1158.29;11.6204;1376.73;14.5363
93;409.419;23.0727;1158.02;11.763;1382.61;14.4139
94;409.49;23.0914;1158.11;10.3672;1382.8;14.3155
95;409.557;23.5828;1158.14;10.457;1376.73;14.3386
96;409.626;23.1882;1158.23;11.9802;1376.73;14.5246
97;409.696;23.8499;1158.12;11.3731;1376.73;14.2844
98;409.773;15.6193;1159.47;10.3801;1376.73;13.5976
99;409.844;24.9695;1159.72;10.3111;1376.73;13.8606
100;409.914;24.3241;1159.52;12.107;1376.73;14.0889
101;409.982;23.0881;1158.83;12.0272;1376.73;14.7293
102;410.051;23.7819;1158.77;9.7591;1376.73;14.406
103;410.117;22.0125;1159.03;10.6202;1376.73;15.265
104;410.188;24.5326;1160.04;12.0758;1376.73;13.9677
105;410.257;23.4345;1159.29;12.1336;1382.85;14.4778
106;410.326;23.6065;1159.07;9.9265;1383.16;14.6424
107;410.397;24.5879;1158.54;10.0323;1376.73;13.9948
108;410.466;23.6063;1158.33;12.0076;1376.73;14.3753
109;410.534;23.261;1158.56;12.1358;1376.73;14.6667
110;410.604;23.3718;1154.15;10.6196;1382.83;14.7153
111;410.672;23.8195;1154.46;9.7938;1376.73;14.5237
112;410.744;24.3469;1154.16;12.0182;1376.73;14.014
113;410.81;23.2123;1154.8;12.1584;1376.73;14.7446
114;410.878;23.2943;1155.7;10.611;1376.73;14.8052
115;410.947;23.3088;1155.95;10.41;1376.73;14.779
116;411.015;23.2422;1155.96;11.4748;1376.73;14.5915
117;411.081;22.2431;1156.12;12.427;1376.73;15.201
118;411.152;22.7548;1155.79;10.4831;1376.73;14.2109
119;411.221;24.0305;1156.2;10.3654;1376.73;14.1394
120;411.291;23.8297;1155.98;11.5038;1376.73;14.3802
121;411.361;24.2333;1155.91;11.7804;1376.73;14.2342
122;411.43;23.1406;1155.91;10.3644;1376.73;14.6477
123;411.497;23.3488;1156.06;10.49;1376.73;14.543
124;411.57;24.2645;1156.05;11.9196;1376.73;13.9626
125;411.639;23.831;1155.52;11.364;1376.73;14.3452
126;411.713;24.2192;1155.54;10.5025;1376.73;13.893
127;411.78;23.2428;1155.51;10.4522;1376.73;14.4973
128;411.848;23.3796;1156.09;12.0169;1376.73;14.7425
129;411.914;23.2779;1156.6;11.9316;1376.73;14.7836
130;411.982;22.8923;1157.25;10.0434;1376.73;15.0026
131;412.05;23.3832;1156.93;10.4528;1376.73;14.7055
132;412.118;23.1316;1157.01;11.9825;1376.73;14.8029
133;412.187;22.5278;1158.09;12.1253;1376.73;14.592
134;412.257;23.728;1158.1;10.1661;1376.73;14.4831
135;412.324;23.8823;1158.38;10.0945;1376.73;14.4561
136;412.392;23.7197;1157.98;11.9277;1376.73;14.5503
137;412.464;24.3567;1157.29;12.0511;1376.73;14.2121
138;412.535;24.2468;1157.67;10.2608;1376.73;13.9805
139;412.6;23.1998;1157.64;9.7808;1376.73;14.8849
140;412.668;22.8496;1157.67;11.8994;1376.73;15.0702
141;412.737;23.5922;1157.93;11.9918;1376.73;14.4898
142;412.804;22.9703;1157.79;10.3599;1376.73;14.7572
143;412.87;21.7119;1159.01;10.2896;1376.73;15.6663
144;412.939;23.6148;1159.73;11.4338;1382.83;14.5952
145;413.008;23.8379;1159.7;11.8877;1382.61;14.3026
146;413.077;23.6033;1158.99;10.3896;1382.83;14.3692
147;413.145;23.4694;1158.49;10.4265;1376.73;14.6783
148;413.213;22.6114;1162.98;7.4504;1376.73;14.9688
149;413.282;23.7131;1161.27;7.8466;1376.73;14.3627
150;413.352;24.0418;1160.75;7.055;1376.73;14.3704
151;413.42;24.3146;1160.87;7.0136;1376.73;14.1674
152;413.487;22.912;1160.02;7.9656;1376.73;15.0399
153;413.556;22.676;1159.35;7.3866;1382.83;15.0072
154;413.622;23.139;1159.19;7.0032;1376.73;14.8629
155;413.688;23.0541;1160.2;7.0167;1376.73;14.9333
156;413.754;22.6193;1160.25;7.8883;1376.73;15.156
157;413.822;22.0977;1160.4;7.8566;1382.83;15.1165
158;413.889;24.0056;1159.82;6.5103;1376.73;14.4323
159;413.955;22.6594;1159.86;6.9004;1376.73;15.1139
160;414.022;22.6121;1159.83;7.8533;1376.73;15.2825
161;414.089;22.9711;1159.66;8.0016;1376.73;15.0216
162;414.155;23.0498;1159.76;6.5549;1376.73;14.9726
163;414.223;22.8266;1159.83;6.6292;1376.73;15.157
164;414.291;23.4971;1159.86;7.8214;1376.73;14.6297
165;414.355;23.2186;1159.86;7.887;1376.73;14.8501
166;414.424;22.8566;1164.34;6.9848;1376.73;14.9453
167;414.49;22.9904;1163.96;6.3494;1376.73;14.9581
168;414.559;23.1573;1163.84;7.7731;1376.73;14.8757
169;414.627;23.2052;1163.75;7.868;1376.73;14.5076
170;414.697;24.4841;1164.54;7.0202;1376.73;14.0637
171;414.766;23.1517;1163.8;6.7719;1382.8;14.6356
172;414.833;22.6816;1164.45;7.2468;1376.73;14.9711
173;414.896;22.8983;1164.48;7.9292;1376.73;15.0227
174;414.967;22.6973;1163.89;6.8635;1376.73;14.7889
175;415.036;22.987;1163.92;6.944;1376.73;14.6885
176;415.102;23.0733;1164.49;7.461;1376.73;14.9283
177;415.17;22.9607;1164.08;7.6406;1376.73;14.9281
178;415.242;24.0089;1164.12;6.8957;1382.85;14.0782
179;415.309;23.0288;1164.5;6.8286;1376.84;14.7523
180;415.375;22.9546;1164.5;7.6387;1376.73;15.0581
181;415.442;23.048;1163.68;7.1183;1382.83;14.9452
182;415.508;22.8965;1163.73;6.827;1376.73;14.9882
183;415.577;23.6781;1164.22;6.8597;1376.73;14.558
184;415.645;23.1001;1163.35;7.7196;1376.73;14.9216
185;415.715;23.785;1163.11;7.602;1382.61;14.3264
186;415.782;23.6939;1163.46;6.3095;1376.73;14.5662
187;415.85;22.6021;1163.9;6.8294;1376.73;15.0662
188;415.916;23.2612;1163.4;7.6488;1376.73;14.8113
189;415.984;22.7375;1163.83;7.819;1382.83;15.0676
190;416.05;23.2013;1163.91;6.4441;1376.73;14.7726
191;416.117;23.8529;1163.42;6.5698;1376.73;14.498
192;416.186;22.9784;1163.59;7.7591;1376.73;15.0029
193;416.253;22.9288;1164.12;7.8284;1376.73;14.914
194;416.321;23.2031;1163.6;6.8662;1376.73;14.7895
195;416.388;22.651;1163.71;6.1542;1376.73;15.1438
196;416.452;22.9673;1164.43;7.6774;1376.73;15.0417
197;416.52;22.0083;1164.74;7.7806;1376.73;15.175
198;416.588;23.6128;1164.13;6.7903;1376.73;14.5642
199;416.654;22.8746;1164.14;6.663;1382.83;15.1449
200;416.721;22.629;1164.75;7.135;1376.73;14.9912
201;416.789;23.2623;1164.18;7.8332;1383.16;14.8992
202;416.857;23.2494;1164.2;6.83;1382.61;14.5912
203;416.923;23.1602;1164.61;6.7866;1376.73;14.9379
204;416.99;23.3009;1165.45;7.3777;1376.73;14.7835
205;417.055;22.5258;1164.84;7.5091;1376.73;15.3918
