lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
0;4,739002;null;null;null;null;50
1;6,58807;null;null;null;null;50
2;6,699578;null;null;null;null;7,212052
3;6,90176;null;null;null;null;4,957482
4;8,032752;0,17;965,82;0,00;2391,73;3
5;8,121742;null;null;null;null;10,67255
6;8,278595;null;null;null;null;6,379736
7;8,413535;587,13;1013,82;272,23;2391,73;7,418464
8;8,544927;null;null;null;null;7,605147
9;8,691931;null;null;null;null;6,799668
10;8,830353;null;null;null;null;7,252579
11;8,968687;53,17;1013,82;32,90;2372,44;7,205504
12;9,114655;null;null;null;null;6,850624
13;9,25656;null;null;null;null;7,038744
14;9,3866;53,64;1013,82;29,22;2396,20;7,688404
15;9,518804;null;null;null;null;7,570206
16;9,646629;null;null;null;null;7,830982
17;9,804881;null;null;null;null;6,316241
18;9,938795;57,17;1013,82;38,46;2425,36;7,461306
19;10,06518;null;null;null;null;7,90737
20;10,20729;null;null;null;null;7,044719
21;10,34174;null;null;null;null;7,434247
22;10,48895;49,26;1013,82;35,83;2467,21;6,798758
23;10,62551;null;null;null;null;7,327837
24;10,75804;null;null;null;null;7,54248
25;10,8909;52,68;1013,82;40,27;2514,33;7,516949
26;11,02777;null;null;null;null;7,302757
27;11,15884;null;null;null;null;7,631095
28;11,29852;null;null;null;null;7,167169
29;11,43027;54,68;1013,82;39,27;2514,33;7,593412
30;11,5612;null;null;null;null;7,625072
31;11,68925;null;null;null;null;7,807279
32;11,81907;null;null;null;null;7,706292
33;11,95045;56,31;1013,82;38,15;2514,33;7,616047
34;12,08781;null;null;null;null;7,282547
35;12,22578;null;null;null;null;7,252263
36;12,35988;48,54;1013,82;33,24;2514,33;7,455993
37;12,48536;null;null;null;null;7,952052
38;12,60849;null;null;null;null;8,125556
39;12,73569;null;null;null;null;7,879705
40;12,86392;54,16;1013,82;31,88;2514,33;7,794834
41;13,00304;null;null;null;null;7,183598
42;13,12824;null;null;null;null;7,981693
43;13,28026;null;null;null;null;6,583586
44;13,40986;50,51;1013,82;31,61;2514,33;7,703673
45;13,52959;null;null;null;null;8,364372
46;13,65068;null;null;null;null;8,245437
47;13,76922;null;null;null;null;8,431576
48;13,88956;53,03;1013,82;25,73;2514,33;8,313699
49;14,01664;null;null;null;null;7,874269
50;14,14192;null;null;null;null;7,972281
51;14,27364;null;null;null;null;7,598715
52;14,39898;48,08;1013,82;29,56;2514,33;7,983548
53;14,52795;null;null;null;null;7,747176
