lp;TimeStamp;CPU FrameTime;RAMUsage;GPU Frame Time;VRAMUsage;FPS
0;4,138789;null;null;null;null;50
1;5,33646;null;null;null;null;50
2;5,409997;null;null;null;null;3
3;5,483264;null;null;null;null;11,97942
4;5,677312;null;null;null;null;12,0265
5;5,841007;0,00;709,47;0,00;997,90;4,614407
6;5,958958;null;null;null;null;6,665809
7;6,053381;null;null;null;null;8,571933
8;6,144864;711,86;757,47;8,80;999,76;15,00979
9;6,283397;null;null;null;null;8,573858
10;6,398921;null;null;null;null;8,569238
11;6,483099;null;null;null;null;8,570882
12;6,573971;null;null;null;null;11,98806
13;6,682216;107,15;757,47;25,87;1002,25;10,00829
14;6,76655;null;null;null;null;6,667435
15;6,885062;null;null;null;null;19,99644
16;6,985736;null;null;null;null;9,997121
17;7,078666;null;null;null;null;8,573675
18;7,174526;86,67;757,47;25,07;1004,01;9,997371
19;7,259188;null;null;null;null;12,00581
20;7,341438;null;null;null;null;11,99645
21;7,423096;null;null;null;null;12,00297
22;7,493612;null;null;null;null;12,00051
23;7,565691;null;null;null;null;14,99696
24;7,643481;85,42;757,47;27,98;1005,84;14,99887
25;7,737886;null;null;null;null;10,00301
26;7,813071;null;null;null;null;11,99844
27;7,88592;null;null;null;null;14,99671
28;7,960177;null;null;null;null;12,00121
29;8,033626;null;null;null;null;15,00445
30;8,107717;70,30;757,47;23,67;1010,55;14,99936
31;8,179333;null;null;null;null;12,00057
32;8,253087;null;null;null;null;14,99122
33;8,324248;null;null;null;null;12,00443
34;8,396963;null;null;null;null;15,00278
35;8,470486;null;null;null;null;14,99419
36;8,539096;null;null;null;null;15,00643
37;8,614693;64,40;757,47;21,52;1013,54;12,00015
38;8,691983;null;null;null;null;15,00001
39;8,765635;null;null;null;null;12,00064
40;8,838037;null;null;null;null;14,99599
41;8,911406;null;null;null;null;12,00309
42;8,986513;null;null;null;null;14,99651
43;9,058694;null;null;null;null;12,00204
44;9,127666;62,60;757,47;21,47;1015,42;15,00222
45;9,220571;null;null;null;null;15,00128
46;9,295409;null;null;null;null;12,00012
47;9,372034;null;null;null;null;12,00238
48;9,447356;null;null;null;null;11,99098
49;9,523073;null;null;null;null;15,01177
50;9,596349;65,97;757,47;21,38;1020,09;11,99282
51;9,665593;null;null;null;null;15,01355
52;9,739218;null;null;null;null;14,99282
53;9,824298;null;null;null;null;12,00134
54;10,02661;null;null;null;null;60,06006
55;10,09175;62,55;757,47;20,34;1246,10;3,749444
56;10,15184;null;null;null;null;15,01021
57;10,20713;null;null;null;null;19,99228
58;10,26409;null;null;null;null;15,00134
59;10,31945;null;null;null;null;19,99764
60;10,37441;null;null;null;null;20,004
61;10,43171;null;null;null;null;14,99082
62;10,48915;null;null;null;null;19,99832
63;10,5475;null;null;null;null;15,01263
64;10,6079;58,83;757,47;31,35;1251,34;20,00324
65;10,66755;null;null;null;null;14,99709
66;10,72769;null;null;null;null;20,00048
67;10,78709;null;null;null;null;15,00375
68;10,85246;null;null;null;null;14,99689
69;10,9182;null;null;null;null;20,0056
70;10,98533;null;null;null;null;14,99936
71;11,04771;null;null;null;null;14,98621
72;11,10597;51,35;757,47;13,07;1253,23;15,0108
73;11,16696;null;null;null;null;14,99797
74;11,2407;null;null;null;null;20,0024
75;11,30843;null;null;null;null;12,00567
76;11,37554;null;null;null;null;14,99947
77;11,4476;null;null;null;null;14,99869
78;11,55379;null;null;null;null;15,00123
79;11,68476;56,96;757,47;14,39;1255,71;9,99926
80;11,77219;null;null;null;null;7,495021
81;11,84711;null;null;null;null;9,99903
82;11,92456;null;null;null;null;15,02521
83;12,01472;null;null;null;null;11,98367
84;12,07932;73,71;757,47;17,78;1259,30;12,01698
85;12,14182;null;null;null;null;15,00058
86;12,20656;null;null;null;null;15,00208
87;12,28555;null;null;null;null;14,99918
88;12,34638;null;null;null;null;14,9723
89;12,41211;null;null;null;null;15,02697
90;12,47344;null;null;null;null;15,00231
91;12,53846;null;null;null;null;14,99999
92;12,61552;65,23;757,47;10,15;1264,64;15,00677
93;12,6862;null;null;null;null;14,99374
94;12,76387;null;null;null;null;15,00213
95;12,84521;null;null;null;null;12,00185
96;12,93343;null;null;null;null;10,00148
97;13,00786;null;null;null;null;14,9697
98;13,10567;59,91;757,47;11,35;1267,10;12,01754
99;13,20219;null;null;null;null;10,00282
100;13,27909;null;null;null;null;9,994593
101;13,36355;null;null;null;null;14,99718
102;13,45417;null;null;null;null;12,0079
103;13,52392;null;null;null;null;11,99833
104;13,59098;73,64;757,47;17,57;1270,22;11,978
105;13,65705;null;null;null;null;15,03208
106;13,72373;null;null;null;null;15,00332
107;13,78692;null;null;null;null;14,99849
108;13,85301;null;null;null;null;20,0058
109;13,91548;null;null;null;null;15,00166
110;13,98541;null;null;null;null;15,00035
111;14,04244;null;null;null;null;14,99633
112;14,10359;65,12;757,47;12,97;1272,58;14,99718
113;14,15995;null;null;null;null;20,00092
114;14,21913;null;null;null;null;15,00368
115;14,27973;null;null;null;null;19,98521
116;14,3356;null;null;null;null;15,01096
117;14,39614;null;null;null;null;19,99716
118;14,45433;null;null;null;null;14,99995
119;14,51443;null;null;null;null;15,00114
120;14,5737;55,47;757,47;12,93;1275,01;19,96163
121;14,63241;null;null;null;null;14,97912
122;14,69008;null;null;null;null;19,99968
123;14,74617;null;null;null;null;15,03879
